Name,Company,Serving,Calories,Fat,Sodium,Carbs,Fiber,Sugars,Protein
Boo Berry,General Mills,1,118,0.8,211,27,0.1,14,1
Crunchy Bran,Quaker,0.75,120,1.3,309,31,6.4,8,1.3
King Vitaman,Quaker,1.5,80,0.7,173,17,0.9,4,1.3
Crispix,Kellogs,1,113,0.3,229,26,0.1,3,2
Cocoa Blasts,Quaker,1,130,1.2,135,29,0.8,16,1
Cinnamon Toast Crunch,General Mills,0.75,169,4.4,408,32,1.7,13.3,2.7
Corn Pops,Kellogs,1,117,0.2,120,28,0.3,15,1
Kix,General Mills,1.3,87,0.5,205,20,0.8,2.3,1.5
Special K,Kellogs,1,117,0.4,224,22,0.8,4,7
Rice Krispie Treats,Kellogs,0.75,160,1.7,252,35,0,12,1.3
