popularity,dance,duration,energy,tempo,valence,genre
0,0.702,890.68,0.563,130.003,0.581,Electronic
0,0.534,168,0.994,130.034,0.0295,Electronic
0,0.744,360,0.86,129.91,0.458,Electronic
0,0.8,418.1,0.826,119.984,0.342,Electronic
0,0.541,100.339,0.803,174.069,0.294,Electronic
0,0.662,352.206,0.513,120,0.452,Electronic
0,0.706,210.027,0.863,120.029,0.258,Electronic
0,0.686,186.714,0.471,89.975,0.173,Electronic
0,0.701,389.13,0.626,120.006,0.305,Electronic
0,0.533,205.714,0.468,125.98,0.11,Electronic
0,0.537,237,0.962,160.031,0.43,Electronic
0,0.669,174.545,0.721,110.019,0.5,Electronic
0,0.675,366.841,0.92,142.599,0.936,Electronic
0,0.669,183.907,0.904,128.011,0.303,Electronic
0,0.801,213.353,0.718,125.985,0.796,Electronic
0,0.728,197.91,0.955,128.031,0.564,Electronic
0,0.547,178.219,0.855,155.027,0.352,Electronic
0,0.483,169.573,0.0533,130.036,0.0813,Anime
0,0.295,142.56,0.157,69.973,0.0505,Anime
0,0.434,122.6,0.386,75.025,0.261,Anime
0,0.436,132.16,0.426,121.042,0.606,Anime
0,0.562,137.852,0.408,125.869,0.718,Anime
0,0.415,121.8,0.0601,142.194,0.0439,Anime
0,0.412,135.04,0.372,175.861,0.241,Anime
0,0.801,127.619,0.519,126.05,0.434,Anime
0,0.49,134.44,0.625,85.526,0.517,Anime
0,0.554,103.627,0.878,145.036,0.785,Anime
0,0.641,107.235,0.503,121.019,0.89,Anime
0,0.467,250.728,0.0781,72.17,0.0965,Anime
0,0.29,192.12,0.416,154.244,0.185,Anime
0,0.57,113.453,0.0639,125.937,0.141,Anime
0,0.299,125.08,0.064,70.047,0.0561,Anime
0,0.524,98.04,0.186,129.971,0.161,Anime
0,0.528,101.163,0.811,172.137,0.968,Anime
0,0.527,118.333,0.0633,71.974,0.21,Anime
0,0.618,132.719,0.879,154.921,0.597,Anime
0,0.28,170.5,0.222,76.171,0.209,Jazz
0,0.517,257.64,0.638,165.139,0.62,Jazz
0,0.376,208.273,0.112,77.625,0.198,Jazz
0,0.427,168.737,0.0947,73.417,0.204,Jazz
0,0.489,332.973,0.0416,109.516,0.119,Jazz
0,0.618,112,0.737,92.288,0.594,Jazz
0,0.308,142,0.552,83.477,0.676,Jazz
0,0.448,186.286,0.0828,79.082,0.216,Jazz
0,0.564,232.427,0.672,85.065,0.727,Jazz
0,0.652,256.507,0.69,167.743,0.809,Jazz
0,0.583,22.75,0.784,83.773,0.9,Jazz
0,0.293,210.96,0.463,130.824,0.214,Jazz
0,0.584,254.307,0.579,90.582,0.365,Jazz
0,0.528,165.28,0.404,109.299,0.627,Jazz
0,0.373,19.693,0.598,71.352,0.939,Jazz
0,0.661,294.307,0.509,80.002,0.539,Jazz
0,0.5,290.467,0.0978,112.853,0.319,Jazz
0,0.444,315.747,0.431,161.478,0.382,Jazz
0,0.438,372.693,0.589,180.22,0.419,Jazz
